codice_cliente,lit_mode_r100,lit_pct_yes_r100,lit_pct_no_r100,lit_pct_sunset_sunrise_r100,lit_pct_automatic_r100,lit_pct_missing_r100,lit_n_edges_r100,lit_mode_r300,lit_pct_yes_r300,lit_pct_no_r300,lit_pct_sunset_sunrise_r300,lit_pct_automatic_r300,lit_pct_missing_r300,lit_n_edges_r300,lit_mode_r500,lit_pct_yes_r500,lit_pct_no_r500,lit_pct_sunset_sunrise_r500,lit_pct_automatic_r500,lit_pct_missing_r500,lit_n_edges_r500
9975,unknown,,,,,1.0,8,yes,0.030303030303030304,0.0,0.0,0.0,0.9696969696969697,33,yes,0.04,0.0,0.0,0.0,0.96,100
9978,unknown,,,,,1.0,9,unknown,,,,,1.0,73,unknown,,,,,1.0,190
9982,yes,0.6470588235294118,0.12941176470588237,0.0,0.0,0.2235294117647059,85,yes,0.562942008486563,0.02263083451202263,0.0,0.0,0.4144271570014144,707,yes,0.566002490660025,0.01805728518057285,0.0,0.0,0.4140722291407223,1606
9983,unknown,,,,,1.0,6,unknown,,,,,1.0,20,unknown,,,,,1.0,27
9985,yes,0.5454545454545454,0.0,0.0,0.0,0.45454545454545453,44,yes,0.3867069486404834,0.0030211480362537764,0.0,0.0,0.6102719033232629,331,yes,0.2677595628415301,0.001092896174863388,0.0,0.0,0.7311475409836066,915
9986,unknown,,,,,1.0,17,yes,0.07920792079207921,0.0,0.0,0.0,0.9207920792079208,101,yes,0.12162162162162163,0.0,0.0,0.0,0.8783783783783784,370
9987,yes,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,24,yes,0.08333333333333333,0.0,0.0,0.0,0.9166666666666666,72,yes,0.050724637681159424,0.0,0.0,0.0,0.9492753623188406,138
9988,yes,0.696969696969697,0.0,0.0,0.0,0.30303030303030304,66,yes,0.4723404255319149,0.00425531914893617,0.0,0.0,0.5234042553191489,235,yes,0.5368098159509203,0.006134969325153374,0.0,0.0,0.4539877300613497,652
9990,yes,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,48,yes,0.6628131021194605,0.0038535645472061657,0.0,0.0,0.3333333333333333,519,yes,0.6909620991253644,0.013119533527696793,0.0,0.0,0.29591836734693877,1372
9992,yes,0.775,0.0,0.0,0.0,0.225,40,yes,0.660377358490566,0.005390835579514825,0.0,0.0,0.33423180592991913,371,yes,0.5559471365638766,0.0026431718061674008,0.0,0.0,0.44140969162995597,1135
9993,unknown,,,,,1.0,25,unknown,,,,,1.0,56,unknown,,,,,1.0,73
9994,yes,0.02631578947368421,0.0,0.0,0.0,0.9736842105263158,38,yes,0.011363636363636364,0.0,0.0,0.0,0.9886363636363636,176,yes,0.03350970017636684,0.0,0.0,0.0,0.9664902998236331,567
9996,yes,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,15,yes,0.08571428571428572,0.0,0.0,0.0,0.9142857142857143,105,yes,0.07692307692307693,0.005494505494505495,0.0,0.0,0.9175824175824175,182
9997,unknown,,,,,1.0,10,unknown,,,,,1.0,55,unknown,,,,,1.0,74
9999,yes,0.7222222222222222,0.0,0.0,0.0,0.2777777777777778,36,yes,0.38317757009345793,0.0,0.0,0.0,0.616822429906542,214,yes,0.3621621621621622,0.0,0.0,0.0,0.6378378378378379,370
10002,yes,0.2222222222222222,0.0,0.0,0.0,0.7777777777777778,9,yes,0.19,0.0,0.0,0.0,0.81,100,yes,0.10689655172413794,0.0,0.0,0.0,0.8931034482758621,290
10004,unknown,,,,,1.0,36,unknown,,,,,1.0,276,unknown,,,,,1.0,457
10006,yes,0.08695652173913043,0.0,0.0,0.0,0.9130434782608695,23,yes,0.03,0.0,0.0,0.0,0.97,100,yes,0.016853932584269662,0.0,0.0,0.0,0.9831460674157303,178
10007,unknown,,,,,1.0,8,unknown,,,,,1.0,62,unknown,,,,,1.0,173
